P2_1_B,lemma
"2515	se sostiene que muchas decisiones se adoptan en altas esferas sin consulta a la gente, ni constatación de la realidad de la calle.",decisión alto consulta gente constatación realidad calle
"2516	"".que cambie el sistema de pensiones y las afp",sistema pensión afp
.aumento de pensiones (ultimo sueldo),aumento pensión ultimo sueldo
.disminuir edad para jubilar,edad
"disminución del calculo (edad) para pensionarse.""",disminución calculo edad
"2517	""mejorar la educación pública",educación público
mejorar la calidad tanto de la enseñanza y de la infraestructura.,calidad enseñanza
proveer un ambiente apropiado para la educación.,apropiado educación
"mejorar la calidad laboral de los profesores""",calidad laboral profesor
"2518	""no atienden debido a paros",debido paro
no dan los medicamentos,medicamento
que exista mayor control (no sean rural de op),mayor control rural
mejorar el trato de las personas,trato persona
"las operaciones no as hacen""",operación
2519	su padre perdio todos los años de imposiciones por no haber respaldo de sus años trabajados en pesquera y ferrocarril.,padre año imposición respaldo año trabajado ferrocarril
"2520	""que existe igualdad, una mejor salud o salario justo, previsión en justicia.",igualdad mejor salud salario justo previsión justicia
"Que se generará un arreglo justo a lo solicitado, que se cumple lo ofrecido, que los trabajadores reciban sueldos justos.",arreglo justo ofrecido trabajador sueldo justo
"que se dialogue en paz,  escuchando a todos, y que las solucionen lleguen a toda la población, no """,paz población
"2521	""colusión, sacar las afp, buscar otro sistema de pensiones, modificar esperanza de vida",colusión sistema pensión esperanza vida
"jubilarse todos a la misma edad""",edad
"2522	""- mucha información por menos sueldo",información sueldo
-tercera edad no le llega imposición,tercero edad imposición
"-necesidad en salud y atención primaria, jubilación(tercera edad, principales afectados)",necesidad salud atención primario jubilación tercero edad principal afectado
-falta un medio de comunicación mas accesible a tercera edad,medio comunicación accesible tercero edad
"2523	""el cae (endeudamiento para estudiar)",endeudamiento
"el acceso a trabajo bien remunerado para egresados (piden experiencia pero a los recién salidos no les dan la oportunidad) la fila y tómbola de los colegios.""",acceso trabajo remunerado experiencia salido oportunidad fila tómbola colegio
"2524	el robo del agua ha provocado sequías, muerte de animales, y el abandono de la gente de sus hogares",robo agua sequía muerte animal abandono gente hogar
"2525	calidad de salud, digna ya que existe una deficiencia de insumos e insuficiencia de profesionales precios de medicamentos",calidad salud digno deficiencia insumo insuficiencia profesional precio medicamento
"2526	""- Derecho a una educación inclusiva (ley de autismo)",derecho educación inclusivo ley autismo
"- Que funcione el programa pie como debe ser.""",programa pie deber
2527	los carabineros deben ser una institucion creible se les debe dar una mejor preparación para que vuelva la confianza,carabinero deber institución creible mejor preparación confianza
"2528	que la pensión alcancen para vivir bien, en el cual las necesidades basicas no sean una preocupación",pensión necesidad basico preocupación
"2529	el acceso a la salud no es el indicado, se considera que es un privilegio de algunos no un derecho",acceso salud indicado privilegio derecho
"2530	cual es la verdadera facultad de estas instituciones, para que nos sirven si no nos aportan en nada. nos roban",verdadero institución
2531	se visualizan varios en el funcionamiento de el ambito de salud y en los precios de los medicamentos amplia lista de espera,funcionamiento ambito salud precio medicamento amplio lista espera
"2532	""- se acaben listados de espera-",listado espera
- que ingresen mas enfermedades al auge.,enfermedad auge
- atención de calidad,atención calidad
"- que ingresen mas recursos""",recurso
-toda una epoca trabajando para recibir una miseria,miseria
"-deberia volver el sistema antiguo        ganar un poco más""",deberia sistema antiguo
"2534	""para que se mejore la salud.",salud
que hayan más especialistas atención consultorio.,especialista atención consultorio
"igualdad en la salud.""",igualdad salud
"2535	""historicamente ha existido un   en temás de salud, hay muchas listas de espera para especialistas",temás salud lista espera especialista
"no puede ser que el medicamento que sale de la   a las farmacias aumente en un 90%""",medicamento farmacia
"2536	""haber dejado de lado lo espiritual, el sistema ha cosificado utópicamente, hay que hacerse cargo del bienestar dotando e ____ sino mas bien de lo intanigible",lado espiritual sistema utópicamente cargo bienestar intanigible
"incluir a la sociedad civil en la toma de decisiones""",sociedad civil toma decisión
2537	el pais debe desarrollar una mejor administracion de las platas publicas para poder optar a mejores trabajos y necesidades.,país deber mejor administración plata publico mejor trabajo necesidad
"2538	""-que existan mas fuentes de trabajo para disminuir la cesantia.",fuente trabajo cesantia
"-trabajos que no exijan años de experiencia.""",trabajo año experiencia
"2539	""poco trabajo por que hay las gentes de afuera",trabajo gente
"le dan oportunidades a los de afuera trabajan mas y le pagan menos """,oportunidad
2540	de parte de las instituciones que representan al gobierno que escuchen a la gente y cumplan con lo que prometen,parte institución gobierno gente
2541	los pueblos pequeños no tienen una conectividad que les permita mejorar la calidad de vida de los vecinos,pueblo pequeño conectividad calidad vida vecino
"2542	""tiempos de espera.",tiempo espera
mejorar atención (empatía).,atención
falta de especialistas.,falta especialista
"que mis empresas no determinen la calidad de la salud que recibo.""",empresa calidad salud
"2543	""-Se espera mucho como si todos tuvieran las mismas capacidades.",capacidad
2544	el sistema no garantiza que la persona pueda tener cubierta con la pensión las necesidades básicas,sistema persona cubierto pensión necesidad básico
"2545	""no hay atención inmediata, mucha espera para exámenes y resultados.",atención inmediato exámen resultado
no hay empatía de médicos y personal de salud.,médico personal salud
"no hay suficiente remedios ni variedad""",suficiente remedio variedad
"2546	""- educación superior sea gradualmente gratis hasta ciertos quintiles.",educación superior gradualmente quintil
- trabajar hacia la calidad,calidad
-supervision que no exista intervencion idelógica y  en los niños,intervención idelógico niño
"- derecho preferente a los padres educan hijos""",derecho preferente padre hijo
"2547	""penas de cárcel, y que los embarguen como lo hacen con la gente común y corriente  debe o roba.",pena cárcel gente común corriente deber
-cambiar el poder judicial.,poder judicial
"-deberian haber nuevos candidatos para estar a cargo del gob.""",nuevo candidato cargo
"2548	""molesta que todas las desiciones se tomen en santiago",desición santiago
"las regiones deben tomar sus propias desiciones en la financiero y lo politico""",región deber desición financiero politico
"2549	mejoras en salus pública de calidad, buen trato a los pacientes. inyectar más recursos a esta area",público calidad buen trato paciente
"2550	el sistema de salud público en chile es malo en cuanto a los accesos a los médicos, especialistas (no hay) y la atención de urgencia.",sistema salud público malo cuanto acceso médico especialista atención urgencia
2551	que tambien se reconoce la vulneracion de los derechos y deberes de parte de la familia.,vulneración derecho deber parte familia
"2552	ineficiente atención para la población en general, listas de espera y también eliminar las filas en los consultorios",ineficiente atención población general lista espera fila consultorio
2553	a mi madre no le entregan silla de rueda que necesita hace mas de 3 meses,madre silla rueda mes
"2554	""- De muy mala calidad",malo calidad
- Largas listas de espera en los Hospitales,largas lista espera hospitales
"- Salud mental desprotegida""",salud mental desprotegida
